,Time(24Hr),SO2(ppm),NO2(ppm),O3(ppm),CO(ppm),PM10(㎍/㎥),PM2.5(㎍/㎥)
0,24,0.004,0.007,0.031,0.2,22,5
1,23,0.004,0.008,0.031,0.3,25,7
2,22,0.003,0.009,0.031,0.3,30,8
3,21,0.004,0.007,0.033,0.3,31,10
4,20,0.003,0.008,0.034,0.3,36,11
5,19,0.004,0.010,0.032,0.3,48,15
6,18,0.004,0.013,0.027,0.4,48,16
7,17,점검,점검,점검,점검,점검,점검
8,16,점검,점검,점검,점검,점검,점검
9,15,0.005,0.011,0.026,0.4,62,20
10,14,0.005,0.010,0.025,0.5,60,20
11,13,0.005,0.010,0.023,0.5,50,17
12,12,0.005,0.012,0.022,0.5,31,15
13,11,0.005,0.019,0.018,0.5,24,13
14,10,0.005,0.021,0.015,0.5,22,10
15,09,0.004,0.021,0.016,0.5,18,11
16,08,0.005,0.015,0.023,0.5,16,8
17,07,0.005,0.014,0.026,0.4,15,8
18,06,0.005,0.010,0.029,0.5,16,10
19,05,0.005,0.009,0.027,0.6,26,17
20,04,0.007,0.017,0.018,0.6,31,21
21,03,0.007,0.018,0.017,0.6,39,26
22,02,0.006,0.020,0.013,0.6,31,20
23,01,0.007,0.021,0.014,0.5,39,25
24,24,0.004,0.007,0.031,0.2,22,5
25,23,0.004,0.008,0.031,0.3,25,7
26,22,0.003,0.009,0.031,0.3,30,8
27,21,0.004,0.007,0.033,0.3,31,10
28,20,0.003,0.008,0.034,0.3,36,11
29,19,0.004,0.010,0.032,0.3,48,15
30,18,0.004,0.013,0.027,0.4,48,16
31,17,점검,점검,점검,점검,점검,점검
32,16,점검,점검,점검,점검,점검,점검
33,15,0.005,0.011,0.026,0.4,62,20
34,14,0.005,0.010,0.025,0.5,60,20
35,13,0.005,0.010,0.023,0.5,50,17
36,12,0.005,0.012,0.022,0.5,31,15
37,11,0.005,0.019,0.018,0.5,24,13
38,10,0.005,0.021,0.015,0.5,22,10
39,09,0.004,0.021,0.016,0.5,18,11
40,08,0.005,0.015,0.023,0.5,16,8
41,07,0.005,0.014,0.026,0.4,15,8
42,06,0.005,0.010,0.029,0.5,16,10
43,05,0.005,0.009,0.027,0.6,26,17
44,04,0.007,0.017,0.018,0.6,31,21
45,03,0.007,0.018,0.017,0.6,39,26
46,02,0.006,0.020,0.013,0.6,31,20
47,01,0.007,0.021,0.014,0.5,39,25
