TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/08(Tue)-01:00,2019-01-08 01:00:00,0.006999999999999999,0.015,0.028999999999999998,0.8,54,34
2019.01/08(Tue)-02:00,2019-01-08 02:00:00,0.006,0.012,0.037000000000000005,0.7,36,22
2019.01/08(Tue)-03:00,2019-01-08 03:00:00,0.006999999999999999,0.011000000000000001,0.031,0.7,32,19
2019.01/08(Tue)-04:00,2019-01-08 04:00:00,0.008,0.017,0.025,0.6,34,22
2019.01/08(Tue)-05:00,2019-01-08 05:00:00,0.01,0.023,0.02,0.7,37,22
2019.01/08(Tue)-06:00,2019-01-08 06:00:00,0.009000000000000001,0.032,0.012,0.7,37,19
2019.01/08(Tue)-07:00,2019-01-08 07:00:00,0.009000000000000001,0.037000000000000005,0.009000000000000001,0.9,39,21
2019.01/08(Tue)-08:00,2019-01-08 08:00:00,0.009000000000000001,0.031,0.013000000000000001,0.8,39,21
2019.01/08(Tue)-09:00,2019-01-08 09:00:00,0.008,0.04,0.006999999999999999,0.9,43,24
2019.01/08(Tue)-10:00,2019-01-08 10:00:00,0.008,0.031,0.016,0.8,49,24
2019.01/08(Tue)-11:00,2019-01-08 11:00:00,0.006999999999999999,0.015,0.028999999999999998,0.8,37,20
2019.01/08(Tue)-12:00,2019-01-08 12:00:00,0.006999999999999999,0.012,0.034,0.8,36,17
2019.01/08(Tue)-13:00,2019-01-08 13:00:00,0.006999999999999999,0.012,0.035,0.8,35,18
2019.01/08(Tue)-14:00,2019-01-08 14:00:00,0.006,0.011000000000000001,0.037000000000000005,0.7,38,17
2019.01/08(Tue)-15:00,2019-01-08 15:00:00,0.005,0.011000000000000001,0.032,0.6,38,16
2019.01/08(Tue)-16:00,2019-01-08 16:00:00,0.005,0.012,0.036000000000000004,0.6,43,14
2019.01/08(Tue)-17:00,2019-01-08 17:00:00,0.006,0.012,0.033,0.7,49,14
2019.01/08(Tue)-18:00,2019-01-08 18:00:00,0.006,0.013999999999999999,0.033,0.6,51,15
2019.01/08(Tue)-19:00,2019-01-08 19:00:00,0.005,0.013000000000000001,0.031,0.6,38,10
2019.01/08(Tue)-20:00,2019-01-08 20:00:00,0.004,0.01,0.031,0.6,38,12
2019.01/08(Tue)-21:00,2019-01-08 21:00:00,0.005,0.01,0.03,0.5,51,11
2019.01/08(Tue)-22:00,2019-01-08 22:00:00,0.005,0.011000000000000001,0.027999999999999997,0.6,38,12
2019.01/08(Tue)-23:00,2019-01-08 23:00:00,0.005,0.012,0.026000000000000002,0.6,33,11
2019.01/09(Wed)-00:00,2019-01-09 00:00:00,0.005,0.009000000000000001,0.027999999999999997,0.6,34,13
2019.01/09(Wed)-01:00,2019-01-09 01:00:00,0.005,0.008,0.027999999999999997,0.6,33,12
2019.01/09(Wed)-02:00,2019-01-09 02:00:00,0.005,0.009000000000000001,0.027000000000000003,0.5,33,13
2019.01/09(Wed)-03:00,2019-01-09 03:00:00,0.005,0.011000000000000001,0.025,0.6,35,14
2019.01/09(Wed)-04:00,2019-01-09 04:00:00,0.006,0.012,0.024,0.5,35,13
2019.01/09(Wed)-05:00,2019-01-09 05:00:00,0.006999999999999999,0.016,0.02,0.6,34,16
2019.01/09(Wed)-06:00,2019-01-09 06:00:00,0.006,0.019,0.018000000000000002,0.6,34,16
2019.01/09(Wed)-07:00,2019-01-09 07:00:00,0.006,0.024,0.013999999999999999,0.6,31,12
2019.01/09(Wed)-08:00,2019-01-09 08:00:00,0.006,0.038,0.004,0.6,33,14
2019.01/09(Wed)-09:00,2019-01-09 09:00:00,0.006999999999999999,0.046,0.004,0.8,43,18
2019.01/09(Wed)-10:00,2019-01-09 10:00:00,0.006999999999999999,0.042,0.006,0.7,45,20
2019.01/09(Wed)-11:00,2019-01-09 11:00:00,0.006,0.032,0.012,0.6,45,17
2019.01/09(Wed)-12:00,2019-01-09 12:00:00,0.006999999999999999,0.036000000000000004,0.013999999999999999,0.7,50,20
2019.01/09(Wed)-13:00,2019-01-09 13:00:00,0.006,0.031,0.016,0.6,52,24
2019.01/09(Wed)-14:00,2019-01-09 14:00:00,0.006999999999999999,0.035,0.013000000000000001,0.7,50,20
2019.01/09(Wed)-15:00,2019-01-09 15:00:00,0.006999999999999999,0.04,0.013000000000000001,0.7,61,26
2019.01/09(Wed)-16:00,2019-01-09 16:00:00,0.009000000000000001,0.045,0.009000000000000001,0.6,65,31
2019.01/09(Wed)-17:00,2019-01-09 17:00:00,0.006999999999999999,0.049,0.008,0.7,61,30
2019.01/09(Wed)-18:00,2019-01-09 18:00:00,0.008,0.053,0.003,0.7,61,29
2019.01/09(Wed)-19:00,2019-01-09 19:00:00,0.006999999999999999,0.053,0.002,0.7,55,26
2019.01/09(Wed)-20:00,2019-01-09 20:00:00,0.006999999999999999,0.051,0.002,0.8,55,27
2019.01/09(Wed)-21:00,2019-01-09 21:00:00,0.009000000000000001,0.05,0.002,0.7,51,26
2019.01/09(Wed)-22:00,2019-01-09 22:00:00,0.009000000000000001,0.045,0.002,0.7,54,28
2019.01/09(Wed)-23:00,2019-01-09 23:00:00,0.006999999999999999,0.045,0.002,0.7,53,28
