TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/10(Thu)-01:00,2019-01-10 01:00:00,0.01,0.046,0.002,0.9,57,31
2019.01/10(Thu)-02:00,2019-01-10 02:00:00,0.011000000000000001,0.039,0.006,0.8,57,32
2019.01/10(Thu)-03:00,2019-01-10 03:00:00,0.009000000000000001,0.027000000000000003,0.013000000000000001,0.6,48,27
2019.01/10(Thu)-04:00,2019-01-10 04:00:00,0.013000000000000001,0.040999999999999995,0.004,0.7,53,27
2019.01/10(Thu)-05:00,2019-01-10 05:00:00,0.01,0.044000000000000004,0.002,0.8,55,33
2019.01/10(Thu)-06:00,2019-01-10 06:00:00,0.008,0.045,0.002,0.8,56,33
2019.01/10(Thu)-07:00,2019-01-10 07:00:00,0.008,0.045,0.002,0.8,52,31
2019.01/10(Thu)-08:00,2019-01-10 08:00:00,0.006999999999999999,0.046,0.002,0.7,53,30
2019.01/10(Thu)-09:00,2019-01-10 09:00:00,0.006,0.045,0.004,0.7,51,28
2019.01/10(Thu)-10:00,2019-01-10 10:00:00,0.006,0.047,0.005,0.7,54,28
2019.01/10(Thu)-11:00,2019-01-10 11:00:00,0.009000000000000001,0.05,0.008,0.9,62,35
2019.01/10(Thu)-12:00,2019-01-10 12:00:00,0.009000000000000001,0.054000000000000006,0.01,0.8,74,46
2019.01/10(Thu)-13:00,2019-01-10 13:00:00,0.006999999999999999,0.03,0.02,0.7,56,33
2019.01/10(Thu)-14:00,2019-01-10 14:00:00,0.006999999999999999,0.025,0.021,0.5,36,18
2019.01/10(Thu)-15:00,2019-01-10 15:00:00,0.006999999999999999,0.027999999999999997,0.018000000000000002,0.6,35,19
2019.01/10(Thu)-16:00,2019-01-10 16:00:00,0.009000000000000001,0.031,0.017,0.6,41,23
2019.01/10(Thu)-17:00,2019-01-10 17:00:00,0.009000000000000001,0.034,0.013000000000000001,0.6,47,29
2019.01/10(Thu)-18:00,2019-01-10 18:00:00,0.006999999999999999,0.03,0.013000000000000001,0.6,45,25
2019.01/10(Thu)-19:00,2019-01-10 19:00:00,0.005,0.034,0.008,0.6,36,21
2019.01/10(Thu)-20:00,2019-01-10 20:00:00,0.005,0.03,0.011000000000000001,0.7,37,22
2019.01/10(Thu)-21:00,2019-01-10 21:00:00,0.006,0.032,0.006999999999999999,0.7,40,24
2019.01/10(Thu)-22:00,2019-01-10 22:00:00,0.008,0.040999999999999995,0.003,0.8,54,37
2019.01/10(Thu)-23:00,2019-01-10 23:00:00,0.015,0.046,0.002,0.9,78,56
2019.01/11(Fri)-00:00,2019-01-11 00:00:00,0.009000000000000001,0.048,0.002,1.1,73,52
2019.01/11(Fri)-01:00,2019-01-11 01:00:00,0.009000000000000001,0.045,0.001,1.0,76,54
2019.01/11(Fri)-02:00,2019-01-11 02:00:00,0.01,0.042,0.001,0.9,77,55
2019.01/11(Fri)-03:00,2019-01-11 03:00:00,0.01,0.040999999999999995,0.002,0.9,73,49
2019.01/11(Fri)-04:00,2019-01-11 04:00:00,0.011000000000000001,0.040999999999999995,0.001,0.9,84,59
2019.01/11(Fri)-05:00,2019-01-11 05:00:00,0.01,0.042,0.002,1.0,83,57
2019.01/11(Fri)-06:00,2019-01-11 06:00:00,0.01,0.044000000000000004,0.002,1.0,78,56
2019.01/11(Fri)-07:00,2019-01-11 07:00:00,0.009000000000000001,0.046,0.002,1.1,82,60
2019.01/11(Fri)-08:00,2019-01-11 08:00:00,0.009000000000000001,0.045,0.002,1.1,71,52
2019.01/11(Fri)-09:00,2019-01-11 09:00:00,0.009000000000000001,0.045,0.002,1.0,72,48
2019.01/11(Fri)-10:00,2019-01-11 10:00:00,0.01,0.05,0.003,1.2,74,49
2019.01/11(Fri)-11:00,2019-01-11 11:00:00,0.011000000000000001,0.059000000000000004,0.005,1.2,88,56
2019.01/11(Fri)-12:00,2019-01-11 12:00:00,0.012,0.067,0.01,1.1,110,74
2019.01/11(Fri)-13:00,2019-01-11 13:00:00,0.011000000000000001,0.043,0.019,1.0,100,71
2019.01/11(Fri)-14:00,2019-01-11 14:00:00,0.01,0.025,0.033,1.0,76,47
2019.01/11(Fri)-15:00,2019-01-11 15:00:00,0.009000000000000001,0.022000000000000002,0.039,1.0,76,49
