TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/11(Fri)-01:00,2019-01-11 01:00:00,0.009000000000000001,0.045,0.001,1.0,76,54
2019.01/11(Fri)-02:00,2019-01-11 02:00:00,0.01,0.042,0.001,0.9,77,55
2019.01/11(Fri)-03:00,2019-01-11 03:00:00,0.01,0.040999999999999995,0.002,0.9,73,49
2019.01/11(Fri)-04:00,2019-01-11 04:00:00,0.011000000000000001,0.040999999999999995,0.001,0.9,84,59
2019.01/11(Fri)-05:00,2019-01-11 05:00:00,0.01,0.042,0.002,1.0,83,57
2019.01/11(Fri)-06:00,2019-01-11 06:00:00,0.01,0.044000000000000004,0.002,1.0,78,56
2019.01/11(Fri)-07:00,2019-01-11 07:00:00,0.009000000000000001,0.046,0.002,1.1,82,60
2019.01/11(Fri)-08:00,2019-01-11 08:00:00,0.009000000000000001,0.045,0.002,1.1,71,52
2019.01/11(Fri)-09:00,2019-01-11 09:00:00,0.009000000000000001,0.045,0.002,1.0,72,48
2019.01/11(Fri)-10:00,2019-01-11 10:00:00,0.01,0.05,0.003,1.2,74,49
2019.01/11(Fri)-11:00,2019-01-11 11:00:00,0.011000000000000001,0.059000000000000004,0.005,1.2,88,56
2019.01/11(Fri)-12:00,2019-01-11 12:00:00,0.012,0.067,0.01,1.1,110,74
2019.01/11(Fri)-13:00,2019-01-11 13:00:00,0.011000000000000001,0.043,0.019,1.0,100,71
2019.01/11(Fri)-14:00,2019-01-11 14:00:00,0.01,0.025,0.033,1.0,76,47
2019.01/11(Fri)-15:00,2019-01-11 15:00:00,0.009000000000000001,0.022000000000000002,0.039,1.0,76,49
2019.01/11(Fri)-16:00,2019-01-11 16:00:00,0.008,0.024,0.039,0.9,73,51
2019.01/11(Fri)-17:00,2019-01-11 17:00:00,0.008,0.034,0.031,1.0,75,50
2019.01/11(Fri)-18:00,2019-01-11 18:00:00,0.009000000000000001,0.040999999999999995,0.024,1.0,79,51
2019.01/11(Fri)-19:00,2019-01-11 19:00:00,0.008,0.05,0.013999999999999999,1.0,78,53
2019.01/11(Fri)-20:00,2019-01-11 20:00:00,0.006999999999999999,0.052000000000000005,0.012,1.1,82,58
2019.01/11(Fri)-21:00,2019-01-11 21:00:00,0.01,0.066,0.002,1.1,89,61
2019.01/11(Fri)-22:00,2019-01-11 22:00:00,0.01,0.067,0.002,1.2,99,69
2019.01/11(Fri)-23:00,2019-01-11 23:00:00,0.01,0.069,0.002,1.3,101,73
2019.01/12(Sat)-00:00,2019-01-12 00:00:00,0.01,0.066,0.002,1.2,99,72
2019.01/12(Sat)-01:00,2019-01-12 01:00:00,0.01,0.063,0.002,1.2,94,69
2019.01/12(Sat)-02:00,2019-01-12 02:00:00,0.013000000000000001,0.062,0.002,1.3,99,76
2019.01/12(Sat)-03:00,2019-01-12 03:00:00,0.015,0.057999999999999996,0.002,1.3,106,75
2019.01/12(Sat)-04:00,2019-01-12 04:00:00,0.013999999999999999,0.057,0.002,1.3,106,74
2019.01/12(Sat)-05:00,2019-01-12 05:00:00,0.015,0.053,0.002,1.3,111,78
2019.01/12(Sat)-06:00,2019-01-12 06:00:00,0.023,0.052000000000000005,0.002,1.2,113,81
2019.01/12(Sat)-07:00,2019-01-12 07:00:00,0.023,0.053,0.002,1.2,106,78
2019.01/12(Sat)-08:00,2019-01-12 08:00:00,0.019,0.054000000000000006,0.002,1.2,101,73
2019.01/12(Sat)-09:00,2019-01-12 09:00:00,0.022000000000000002,0.055,0.003,1.2,102,69
