TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/14(Mon)-01:00,2019-01-14 01:00:00,0.016,0.06,0.002,1.3,113,86
2019.01/14(Mon)-02:00,2019-01-14 02:00:00,0.013000000000000001,0.057,0.005,1.3,106,84
2019.01/14(Mon)-03:00,2019-01-14 03:00:00,0.009000000000000001,0.055999999999999994,0.002,1.4,114,85
2019.01/14(Mon)-04:00,2019-01-14 04:00:00,0.008,0.057999999999999996,0.002,1.5,116,86
2019.01/14(Mon)-05:00,2019-01-14 05:00:00,0.011000000000000001,0.063,0.002,1.6,128,94
2019.01/14(Mon)-06:00,2019-01-14 06:00:00,0.008,0.06,0.002,1.6,125,99
2019.01/14(Mon)-07:00,2019-01-14 07:00:00,0.006999999999999999,0.061,0.002,1.6,128,95
2019.01/14(Mon)-08:00,2019-01-14 08:00:00,0.006999999999999999,0.06,0.002,1.6,123,89
2019.01/14(Mon)-09:00,2019-01-14 09:00:00,0.008,0.054000000000000006,0.002,1.6,117,88
2019.01/14(Mon)-10:00,2019-01-14 10:00:00,0.006,0.042,0.004,1.3,113,91
2019.01/14(Mon)-11:00,2019-01-14 11:00:00,0.006999999999999999,0.057999999999999996,0.004,1.6,131,103
2019.01/14(Mon)-12:00,2019-01-14 12:00:00,0.009000000000000001,0.064,0.005,1.5,167,133
2019.01/14(Mon)-13:00,2019-01-14 13:00:00,0.01,0.067,0.01,1.4,178,142
2019.01/14(Mon)-14:00,2019-01-14 14:00:00,0.012,0.065,0.015,1.4,175,141
2019.01/14(Mon)-15:00,2019-01-14 15:00:00,0.011000000000000001,0.057,0.016,1.3,168,133
2019.01/14(Mon)-16:00,2019-01-14 16:00:00,0.01,0.044000000000000004,0.031,1.3,152,123
2019.01/14(Mon)-17:00,2019-01-14 17:00:00,0.011000000000000001,0.039,0.035,1.3,136,108
2019.01/14(Mon)-18:00,2019-01-14 18:00:00,0.01,0.05,0.023,1.4,151,122
2019.01/14(Mon)-19:00,2019-01-14 19:00:00,0.01,0.06,0.013000000000000001,1.5,159,125
2019.01/14(Mon)-20:00,2019-01-14 20:00:00,0.012,0.052000000000000005,0.019,1.4,151,116
2019.01/14(Mon)-21:00,2019-01-14 21:00:00,0.01,0.059000000000000004,0.01,1.5,150,119
2019.01/14(Mon)-22:00,2019-01-14 22:00:00,0.009000000000000001,0.061,0.009000000000000001,1.4,159,126
2019.01/14(Mon)-23:00,2019-01-14 23:00:00,0.009000000000000001,0.048,0.019,1.5,157,122
2019.01/15(Tue)-00:00,2019-01-15 00:00:00,0.009000000000000001,0.057,0.009000000000000001,1.5,150,119
2019.01/15(Tue)-01:00,2019-01-15 01:00:00,0.009000000000000001,0.051,0.012,1.5,162,124
2019.01/15(Tue)-02:00,2019-01-15 02:00:00,0.01,0.045,0.018000000000000002,1.4,164,130
2019.01/15(Tue)-03:00,2019-01-15 03:00:00,0.011000000000000001,0.036000000000000004,0.021,1.5,157,122
2019.01/15(Tue)-04:00,2019-01-15 04:00:00,0.008,0.02,0.033,1.5,153,116
2019.01/15(Tue)-05:00,2019-01-15 05:00:00,0.006999999999999999,0.016,0.040999999999999995,1.4,141,108
2019.01/15(Tue)-06:00,2019-01-15 06:00:00,0.006,0.016,0.039,1.4,130,101
2019.01/15(Tue)-07:00,2019-01-15 07:00:00,0.006,0.024,0.028999999999999998,1.4,137,104
2019.01/15(Tue)-08:00,2019-01-15 08:00:00,0.008,0.043,0.011000000000000001,1.5,138,107
2019.01/15(Tue)-09:00,2019-01-15 09:00:00,0.009000000000000001,0.054000000000000006,0.004,1.5,136,104
2019.01/15(Tue)-10:00,2019-01-15 10:00:00,0.01,0.05,0.006,1.4,138,102
2019.01/15(Tue)-11:00,2019-01-15 11:00:00,0.009000000000000001,0.042,0.013999999999999999,1.4,135,98
2019.01/15(Tue)-12:00,2019-01-15 12:00:00,0.009000000000000001,0.026000000000000002,0.026000000000000002,1.3,139,99
2019.01/15(Tue)-13:00,2019-01-15 13:00:00,0.008,0.018000000000000002,0.032,1.3,129,87
2019.01/15(Tue)-14:00,2019-01-15 14:00:00,0.006999999999999999,0.016,0.034,1.2,106,75
2019.01/15(Tue)-15:00,2019-01-15 15:00:00,0.006999999999999999,0.017,0.034,1.0,87,58
2019.01/15(Tue)-16:00,2019-01-15 16:00:00,0.006,0.013999999999999999,0.03,0.7,82,28
2019.01/15(Tue)-17:00,2019-01-15 17:00:00,0.005,0.012,0.031,0.7,96,14
2019.01/15(Tue)-18:00,2019-01-15 18:00:00,0.004,0.012,0.031,0.7,69,9
2019.01/15(Tue)-19:00,2019-01-15 19:00:00,0.004,0.011000000000000001,0.031,0.6,62,9
2019.01/15(Tue)-20:00,2019-01-15 20:00:00,0.004,0.011000000000000001,0.03,0.7,61,10
