TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/15(Tue)-01:00,2019-01-15 01:00:00,0.009000000000000001,0.051,0.012,1.5,162,124
2019.01/15(Tue)-02:00,2019-01-15 02:00:00,0.01,0.045,0.018000000000000002,1.4,164,130
2019.01/15(Tue)-03:00,2019-01-15 03:00:00,0.011000000000000001,0.036000000000000004,0.021,1.5,157,122
2019.01/15(Tue)-04:00,2019-01-15 04:00:00,0.008,0.02,0.033,1.5,153,116
2019.01/15(Tue)-05:00,2019-01-15 05:00:00,0.006999999999999999,0.016,0.040999999999999995,1.4,141,108
2019.01/15(Tue)-06:00,2019-01-15 06:00:00,0.006,0.016,0.039,1.4,130,101
2019.01/15(Tue)-07:00,2019-01-15 07:00:00,0.006,0.024,0.028999999999999998,1.4,137,104
2019.01/15(Tue)-08:00,2019-01-15 08:00:00,0.008,0.043,0.011000000000000001,1.5,138,107
2019.01/15(Tue)-09:00,2019-01-15 09:00:00,0.009000000000000001,0.054000000000000006,0.004,1.5,136,104
2019.01/15(Tue)-10:00,2019-01-15 10:00:00,0.01,0.05,0.006,1.4,138,102
2019.01/15(Tue)-11:00,2019-01-15 11:00:00,0.009000000000000001,0.042,0.013999999999999999,1.4,135,98
2019.01/15(Tue)-12:00,2019-01-15 12:00:00,0.009000000000000001,0.026000000000000002,0.026000000000000002,1.3,139,99
2019.01/15(Tue)-13:00,2019-01-15 13:00:00,0.008,0.018000000000000002,0.032,1.3,129,87
2019.01/15(Tue)-14:00,2019-01-15 14:00:00,0.006999999999999999,0.016,0.034,1.2,106,75
2019.01/15(Tue)-15:00,2019-01-15 15:00:00,0.006999999999999999,0.017,0.034,1.0,87,58
2019.01/15(Tue)-16:00,2019-01-15 16:00:00,0.006,0.013999999999999999,0.03,0.7,82,28
2019.01/15(Tue)-17:00,2019-01-15 17:00:00,0.005,0.012,0.031,0.7,96,14
2019.01/15(Tue)-18:00,2019-01-15 18:00:00,0.004,0.012,0.031,0.7,69,9
2019.01/15(Tue)-19:00,2019-01-15 19:00:00,0.004,0.011000000000000001,0.031,0.6,62,9
2019.01/15(Tue)-20:00,2019-01-15 20:00:00,0.004,0.011000000000000001,0.03,0.7,61,10
2019.01/15(Tue)-21:00,2019-01-15 21:00:00,0.004,0.011000000000000001,0.028999999999999998,0.7,60,14
2019.01/15(Tue)-22:00,2019-01-15 22:00:00,0.005,0.012,0.026000000000000002,0.7,65,13
2019.01/15(Tue)-23:00,2019-01-15 23:00:00,0.005,0.011000000000000001,0.026000000000000002,0.7,75,15
2019.01/16(Wed)-00:00,2019-01-16 00:00:00,0.005,0.012,0.024,0.7,78,16
2019.01/16(Wed)-01:00,2019-01-16 01:00:00,0.005,0.011000000000000001,0.021,0.7,76,15
2019.01/16(Wed)-02:00,2019-01-16 02:00:00,0.005,0.009000000000000001,0.025,0.7,66,17
2019.01/16(Wed)-03:00,2019-01-16 03:00:00,0.005,0.009000000000000001,0.025,0.7,59,19
2019.01/16(Wed)-04:00,2019-01-16 04:00:00,0.006,0.01,0.024,0.7,53,18
2019.01/16(Wed)-05:00,2019-01-16 05:00:00,0.005,0.01,0.026000000000000002,0.7,49,18
2019.01/16(Wed)-06:00,2019-01-16 06:00:00,0.005,0.011000000000000001,0.024,0.6,47,17
2019.01/16(Wed)-07:00,2019-01-16 07:00:00,0.005,0.016,0.019,0.6,43,16
2019.01/16(Wed)-08:00,2019-01-16 08:00:00,0.006,0.034,0.006,0.8,38,15
