TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/06(Sun)-01:00,2019-01-06 01:00:00,0.006999999999999999,0.024,0.016,0.7,52,19
2019.01/06(Sun)-02:00,2019-01-06 02:00:00,0.009000000000000001,0.025,0.015,0.6,53,20
2019.01/06(Sun)-03:00,2019-01-06 03:00:00,0.009000000000000001,0.023,0.017,0.7,56,23
2019.01/06(Sun)-04:00,2019-01-06 04:00:00,0.008,0.02,0.02,0.6,59,23
2019.01/06(Sun)-05:00,2019-01-06 05:00:00,0.008,0.023,0.017,0.6,59,26
2019.01/06(Sun)-06:00,2019-01-06 06:00:00,0.008,0.025,0.016,0.6,58,24
2019.01/06(Sun)-07:00,2019-01-06 07:00:00,0.008,0.036000000000000004,0.006999999999999999,0.7,56,23
2019.01/06(Sun)-08:00,2019-01-06 08:00:00,0.008,0.039,0.005,0.6,54,22
2019.01/06(Sun)-09:00,2019-01-06 09:00:00,0.01,0.035,0.008,0.6,54,23
2019.01/06(Sun)-10:00,2019-01-06 10:00:00,0.013000000000000001,0.033,0.01,0.7,64,29
2019.01/06(Sun)-11:00,2019-01-06 11:00:00,0.011000000000000001,0.031,0.015,0.6,62,31
2019.01/06(Sun)-12:00,2019-01-06 12:00:00,0.01,0.023,0.021,0.6,59,26
2019.01/06(Sun)-13:00,2019-01-06 13:00:00,0.009000000000000001,0.02,0.028999999999999998,0.5,56,23
2019.01/06(Sun)-14:00,2019-01-06 14:00:00,0.008,0.016,0.031,0.5,45,18
2019.01/06(Sun)-15:00,2019-01-06 15:00:00,0.006,0.01,0.037000000000000005,0.4,36,15
2019.01/06(Sun)-16:00,2019-01-06 16:00:00,0.006,0.009000000000000001,0.039,0.4,29,10
2019.01/06(Sun)-17:00,2019-01-06 17:00:00,0.006,0.01,0.038,0.4,29,14
2019.01/06(Sun)-18:00,2019-01-06 18:00:00,0.005,0.013999999999999999,0.033,0.4,25,10
2019.01/06(Sun)-19:00,2019-01-06 19:00:00,0.006,0.02,0.028999999999999998,0.6,29,16
2019.01/06(Sun)-20:00,2019-01-06 20:00:00,0.006,0.03,0.02,0.5,32,16
2019.01/06(Sun)-21:00,2019-01-06 21:00:00,0.006,0.027999999999999997,0.02,0.5,32,17
2019.01/06(Sun)-22:00,2019-01-06 22:00:00,0.006999999999999999,0.04,0.01,0.6,33,17
2019.01/06(Sun)-23:00,2019-01-06 23:00:00,0.006,0.055,0.002,0.7,37,20
2019.01/07(Mon)-00:00,2019-01-07 00:00:00,0.006,0.049,0.002,0.7,41,25
2019.01/07(Mon)-01:00,2019-01-07 01:00:00,0.006,0.054000000000000006,0.002,0.8,51,29
2019.01/07(Mon)-02:00,2019-01-07 02:00:00,0.006,0.052000000000000005,0.002,0.8,53,31
2019.01/07(Mon)-03:00,2019-01-07 03:00:00,0.006,0.034,0.009000000000000001,0.6,51,31
2019.01/07(Mon)-04:00,2019-01-07 04:00:00,0.006,0.045,0.002,0.7,46,31
2019.01/07(Mon)-05:00,2019-01-07 05:00:00,0.006999999999999999,0.040999999999999995,0.003,0.7,49,33
2019.01/07(Mon)-06:00,2019-01-07 06:00:00,0.006999999999999999,0.047,0.003,0.8,51,32
2019.01/07(Mon)-07:00,2019-01-07 07:00:00,0.006999999999999999,0.057999999999999996,0.002,1.1,54,34
2019.01/07(Mon)-08:00,2019-01-07 08:00:00,0.006999999999999999,0.059000000000000004,0.002,1.0,51,32
2019.01/07(Mon)-09:00,2019-01-07 09:00:00,0.006999999999999999,0.06,0.003,1.1,56,36
2019.01/07(Mon)-10:00,2019-01-07 10:00:00,0.008,0.065,0.003,1.1,69,43
2019.01/07(Mon)-11:00,2019-01-07 11:00:00,0.008,0.057,0.006,0.9,66,41
2019.01/07(Mon)-12:00,2019-01-07 12:00:00,0.0,0.0,0.0,0.0,0,0
2019.01/07(Mon)-13:00,2019-01-07 13:00:00,0.0,0.0,0.0,0.0,0,0
2019.01/07(Mon)-14:00,2019-01-07 14:00:00,0.009000000000000001,0.027999999999999997,0.023,0.9,59,39
2019.01/07(Mon)-15:00,2019-01-07 15:00:00,0.01,0.028999999999999998,0.024,0.8,55,33
