TIMES,Time,SO2,NO2,O3,CO,PM10,PM2.5
2019.01/07(Mon)-01:00,2019-01-07 01:00:00,0.006,0.054000000000000006,0.002,0.8,51,29
2019.01/07(Mon)-02:00,2019-01-07 02:00:00,0.006,0.052000000000000005,0.002,0.8,53,31
2019.01/07(Mon)-03:00,2019-01-07 03:00:00,0.006,0.034,0.009000000000000001,0.6,51,31
2019.01/07(Mon)-04:00,2019-01-07 04:00:00,0.006,0.045,0.002,0.7,46,31
2019.01/07(Mon)-05:00,2019-01-07 05:00:00,0.006999999999999999,0.040999999999999995,0.003,0.7,49,33
2019.01/07(Mon)-06:00,2019-01-07 06:00:00,0.006999999999999999,0.047,0.003,0.8,51,32
2019.01/07(Mon)-07:00,2019-01-07 07:00:00,0.006999999999999999,0.057999999999999996,0.002,1.1,54,34
2019.01/07(Mon)-08:00,2019-01-07 08:00:00,0.006999999999999999,0.059000000000000004,0.002,1.0,51,32
2019.01/07(Mon)-09:00,2019-01-07 09:00:00,0.006999999999999999,0.06,0.003,1.1,56,36
2019.01/07(Mon)-10:00,2019-01-07 10:00:00,0.008,0.065,0.003,1.1,69,43
2019.01/07(Mon)-11:00,2019-01-07 11:00:00,0.008,0.057,0.006,0.9,66,41
2019.01/07(Mon)-12:00,2019-01-07 12:00:00,0.008,0.036,0.016,0.6	68,30
2019.01/07(Mon)-13:00,2019-01-07 13:00:00,0.007,0.018,0.030,0.7	68,35
2019.01/07(Mon)-14:00,2019-01-07 14:00:00,0.009000000000000001,0.027999999999999997,0.023,0.9,59,39
2019.01/07(Mon)-15:00,2019-01-07 15:00:00,0.01,0.028999999999999998,0.024,0.8,55,33
2019.01/07(Mon)-16:00,2019-01-07 16:00:00,0.009000000000000001,0.021,0.033,0.9,56,35
2019.01/07(Mon)-17:00,2019-01-07 17:00:00,0.008,0.022000000000000002,0.033,0.9,54,35
2019.01/07(Mon)-18:00,2019-01-07 18:00:00,0.008,0.024,0.03,0.9,57,35
2019.01/07(Mon)-19:00,2019-01-07 19:00:00,0.006999999999999999,0.028999999999999998,0.024,1.0,55,36
2019.01/07(Mon)-20:00,2019-01-07 20:00:00,0.008,0.028999999999999998,0.027000000000000003,0.9,57,37
2019.01/07(Mon)-21:00,2019-01-07 21:00:00,0.006999999999999999,0.049,0.009000000000000001,1.0,58,40
2019.01/07(Mon)-22:00,2019-01-07 22:00:00,0.008,0.048,0.006,1.0,63,39
2019.01/07(Mon)-23:00,2019-01-07 23:00:00,0.009000000000000001,0.040999999999999995,0.01,0.9,58,35
2019.01/08(Tue)-00:00,2019-01-08 00:00:00,0.009000000000000001,0.025,0.022000000000000002,1.0,62,42
2019.01/08(Tue)-01:00,2019-01-08 01:00:00,0.006999999999999999,0.015,0.028999999999999998,0.8,54,34
2019.01/08(Tue)-02:00,2019-01-08 02:00:00,0.006,0.012,0.037000000000000005,0.7,36,22
2019.01/08(Tue)-03:00,2019-01-08 03:00:00,0.006999999999999999,0.011000000000000001,0.031,0.7,32,19
2019.01/08(Tue)-04:00,2019-01-08 04:00:00,0.008,0.017,0.025,0.6,34,22
2019.01/08(Tue)-05:00,2019-01-08 05:00:00,0.01,0.023,0.02,0.7,37,22
2019.01/08(Tue)-06:00,2019-01-08 06:00:00,0.009000000000000001,0.032,0.012,0.7,37,19
2019.01/08(Tue)-07:00,2019-01-08 07:00:00,0.009000000000000001,0.037000000000000005,0.009000000000000001,0.9,39,21
2019.01/08(Tue)-08:00,2019-01-08 08:00:00,0.009000000000000001,0.031,0.013000000000000001,0.8,39,21
2019.01/08(Tue)-09:00,2019-01-08 09:00:00,0.008,0.04,0.006999999999999999,0.9,43,24
2019.01/08(Tue)-10:00,2019-01-08 10:00:00,0.008,0.031,0.016,0.8,49,24
2019.01/08(Tue)-11:00,2019-01-08 11:00:00,0.006999999999999999,0.015,0.028999999999999998,0.8,37,20
2019.01/08(Tue)-12:00,2019-01-08 12:00:00,0.006999999999999999,0.012,0.034,0.8,36,17
2019.01/08(Tue)-13:00,2019-01-08 13:00:00,0.006999999999999999,0.012,0.035,0.8,35,18
2019.01/08(Tue)-14:00,2019-01-08 14:00:00,0.006,0.011000000000000001,0.037000000000000005,0.7,38,17
2019.01/08(Tue)-15:00,2019-01-08 15:00:00,0.005,0.011000000000000001,0.032,0.6,38,16
2019.01/08(Tue)-16:00,2019-01-08 16:00:00,0.005,0.012,0.036000000000000004,0.6,43,14
2019.01/08(Tue)-17:00,2019-01-08 17:00:00,0.006,0.012,0.033,0.7,49,14
